id,estimated_value,asking_price,deadline,bids_avg,bids_count,value_diff,roi
18373121,6136900,5794200,28/12/25 at 06:45,-,0,342700,5.91
18417085,74105300,70000000,27/12/25 at 03:54,-,0,4105300,5.86
18308521,6311700,5963250,27/12/25 at 06:57,5.963.250 baht,0,348450,5.84
18374093,35944100,34000000,27/12/25 at 15:04,-,0,1944100,5.72
18241020,2237800,2118400,27/12/25 at 06:55,-,0,119400,5.64
18435585,13512850,12791250,28/12/25 at 06:35,-,0,721600,5.64
18397943,24195600,22909450,27/12/25 at 06:33,-,0,1286150,5.61
18481007,13195500,12500000,26/12/25 at 10:52,-,0,695500,5.56
18432056,6938200,6583000,28/12/25 at 07:26,-,0,355200,5.4
18066581,28017800,26604000,29/12/25 at 23:21,-,0,1413800,5.31
18055754,36854050,35000000,27/12/25 at 15:25,35.000.000 baht,0,1854050,5.3
18541422,10619550,10105400,27/12/25 at 06:38,-,0,514150,5.09
18319997,16436650,15690650,28/12/25 at 07:34,-,0,746000,4.75
18380213,20949650,20000000,27/12/25 at 23:16,-,0,949650,4.75
18231444,12812500,12248000,29/12/25 at 23:21,-,0,564500,4.61
18419458,4356000,4165300,26/12/25 at 06:30,4.165.300 baht,0,190700,4.58
18377962,52272900,50000000,28/12/25 at 09:10,-,0,2272900,4.55
18379032,3625600,3474600,27/12/25 at 06:31,3.474.600 baht,0,151000,4.35
18516748,15648250,15000000,27/12/25 at 18:09,-,0,648250,4.32
18427691,7596750,7292200,27/12/25 at 06:36,-,0,304550,4.18
18163295,42118700,40431200,28/12/25 at 07:40,-,0,1687500,4.17
18465189,11566600,11117400,27/12/25 at 07:20,-,0,449200,4.04
18380631,21100200,20309800,28/12/25 at 07:29,-,0,790400,3.89
18121152,41494600,40000000,31/12/25 at 00:13,-,0,1494600,3.74
18115061,72600400,70000000,28/12/25 at 15:02,-,0,2600400,3.71
18129469,8309550,8033900,26/12/25 at 07:00,-,0,275650,3.43
18647745,72291200,70000000,27/12/25 at 16:55,-,0,2291200,3.27
18447166,41242350,40000000,28/12/25 at 03:18,-,0,1242350,3.11
18351162,60389050,58601000,27/12/25 at 07:18,-,0,1788050,3.05
18447090,92736550,90000000,28/12/25 at 03:17,-,0,2736550,3.04
18373716,6094900,5918100,27/12/25 at 06:36,-,0,176800,2.99
18472156,14496750,14098200,28/12/25 at 07:07,-,0,398550,2.83
18417929,5879450,5726700,28/12/25 at 07:26,-,0,152750,2.67
18646671,25714650,25065400,28/12/25 at 07:28,-,0,649250,2.59
18420601,8295700,8099550,27/12/25 at 07:14,8.099.550 baht,0,196150,2.42
18307958,3617550,3533400,27/12/25 at 06:29,-,0,84150,2.38
18276882,54912850,53649500,29/12/25 at 23:21,-,0,1263350,2.35
18561743,13235300,12963700,27/12/25 at 06:32,-,0,271600,2.1
18110008,63799300,62500000,29/12/25 at 13:28,-,0,1299300,2.08
18461943,6980700,6843150,28/12/25 at 07:42,-,0,137550,2.01
18188461,33374800,32751000,29/12/25 at 23:21,-,0,623800,1.9
18137497,50796700,50000000,Today at 17:43,-,0,796700,1.59
18293447,43744950,43092200,26/12/25 at 07:22,-,0,652750,1.51
18113657,31529400,31063100,27/12/25 at 06:35,-,0,466300,1.5
18382185,50669800,50000000,28/12/25 at 14:40,-,0,669800,1.34
18161434,40488500,40000000,31/12/25 at 00:12,-,0,488500,1.22
18310719,45170450,44628000,29/12/25 at 23:22,-,0,542450,1.22
18383300,12986500,12833000,29/12/25 at 23:22,-,0,153500,1.2
18350118,6422950,6355300,26/12/25 at 07:09,6.355.300 baht,0,67650,1.06
18415970,30081550,29801500,29/12/25 at 23:22,-,0,280050,0.94
18547180,13061050,12940750,28/12/25 at 06:38,-,0,120300,0.93
18556812,20170250,20000000,26/12/25 at 10:54,-,0,170250,0.85
18521009,7645150,7605250,28/12/25 at 06:49,7.939.150 baht,0,39900,0.52
18466903,38250350,38084750,27/12/25 at 07:10,38.084.750 baht,0,165600,0.43
18440067,14209600,14151200,26/12/25 at 07:17,14.151.200 baht,0,58400,0.41
18296990,15583550,15533000,27/12/25 at 06:31,-,0,50550,0.33
18321505,25903600,25824650,27/12/25 at 06:57,28.258.000 baht,0,78950,0.31
18037243,2706650,2702900,26/12/25 at 06:29,-,0,3750,0.14
18017954,2706650,2702900,27/12/25 at 06:59,-,0,3750,0.14
18414964,5176600,5172700,26/12/25 at 06:30,-,0,3900,0.08
18122123,3701250,3698800,26/12/25 at 06:36,-,0,2450,0.07
18671374,85026300,85000000,28/12/25 at 02:05,-,0,26300,0.03
18158510,20559500,20558050,26/12/25 at 06:33,-,0,1450,0.01
18029214,1827600,1827450,28/12/25 at 06:43,-,0,150,0.01
17995691,3215300,3215300,26/12/25 at 07:41,-,0,0,0.0
18009090,1837200,0,26/12/25 at 07:03,-,0,1837200,0.0
18150540,3178850,0,26/12/25 at 07:41,-,0,3178850,0.0
18118114,4161450,4161450,26/12/25 at 07:42,-,0,0,0.0
18184977,1903350,0,26/12/25 at 06:54,-,0,1903350,0.0
18278413,3703100,3703100,26/12/25 at 07:24,-,0,0,0.0
18055173,1830000,0,26/12/25 at 07:10,-,0,1830000,0.0
18054286,4098100,4098100,26/12/25 at 07:36,-,0,0,0.0
18196853,3107800,3107800,27/12/25 at 06:38,-,0,0,0.0
18036664,4096550,4096550,26/12/25 at 07:30,-,0,0,0.0
18061754,3349400,3349400,26/12/25 at 07:08,-,0,0,0.0
18402111,11566600,11566600,26/12/25 at 06:31,-,0,0,0.0
18251515,15579500,15579500,26/12/25 at 07:14,-,0,0,0.0
18260824,5038400,5038400,26/12/25 at 07:24,-,0,0,0.0
18221081,6832600,6832600,27/12/25 at 07:00,-,0,0,0.0
18320568,11671050,11671050,26/12/25 at 07:18,-,0,0,0.0
18122550,3207400,0,26/12/25 at 07:16,-,0,3207400,0.0
